Адальберт;1;0,42%
Адам;2;0,84%
Александр;4;1,67%
Алексей;2;0,84%
Андрей;6;2,51%
Антон;15;6,28%
Богуслав;1;0,42%
Валентин;1;0,42%
Василий;8;3,35%
Венедикт;2;0,84%
Викентий;6;2,51%
Виктор;2;0,84%
Вильгельм;1;0,42%
Владислав;3;1,26%
Гаврила;3;1,26%
Гедеон;1;0,42%
Георгий;2;0,84%
Григорий;4;1,67%
Данила;1;0,42%
Дмитрий;2;0,84%
Самуил;1;0,42%
Иван;26;10,88%
Игнатий;7;2,93%
Иероним;2;0,84%
Илья;1;0,42%
Иоаким;2;0,84%
Иосафат;4;1,67%
Осип;12;5,02%
Ипполит;1;0,42%
Казимир;3;1,26%
Карл;2;0,84%
Куприян;1;0,42%
Кирилл;2;0,84%
Клит;1;0,42%
Константин;3;1,26%
Лаврентий;1;0,42%
Лев;3;1,26%
Леонтий;1;0,42%
Лука;2;0,84%
Хлодвиг;1;0,42%
Максим;1;0,42%
Мартин;1;0,42%
Матвей;3;1,26%
Мелетий;1;0,42%
Михаил;11;4,60%
Николай;9;3,77%
Онуфрий;1;0,42%
Павел;5;2,09%
Петр;6;2,51%
Рафаил;1;0,42%
Роман;1;0,42%
Савва;1;0,42%
Самсон;1;0,42%
Семён;5;2,09%
Сильвестр;2;0,84%
Станислав;5;2,09%
Степан;12;5,02%
Фавст;1;0,42%
Фадей;4;1,67%
Феликс;3;1,26%
Фелициан;1;0,42%
Фёдор;7;2,93%
Филипп;1;0,42%
Флор;1;0,42%
Фома;2;0,84%
Франциск;4;1,67%
Юлиан;1;0,42%
Юстин;1;0,42%
Яков;4;1,67%